location,location_type,country,state_province,district_county_municipality,city
United_States-Puerto_Rico,territory,United_States,Puerto_Rico,NA,NA
United_States-Puerto_Rico-Adjuntas,municipality,United_States,Puerto_Rico,Adjuntas,NA
United_States-Puerto_Rico-Aguada,municipality,United_States,Puerto_Rico,Aguada,NA
United_States-Puerto_Rico-Aguadilla,municipality,United_States,Puerto_Rico,Aguadilla,NA
United_States-Puerto_Rico-Aguas_Buenas,municipality,United_States,Puerto_Rico,Aguas_Buenas,NA
United_States-Puerto_Rico-Aibonito,municipality,United_States,Puerto_Rico,Aibonito,NA
United_States-Puerto_Rico-Añasco,municipality,United_States,Puerto_Rico,Añasco,NA
United_States-Puerto_Rico-Arecibo,municipality,United_States,Puerto_Rico,Arecibo,NA
United_States-Puerto_Rico-Arroyo,municipality,United_States,Puerto_Rico,Arroyo,NA
United_States-Puerto_Rico-Barceloneta,municipality,United_States,Puerto_Rico,Barceloneta,NA
United_States-Puerto_Rico-Barranquitas,municipality,United_States,Puerto_Rico,Barranquitas,NA
United_States-Puerto_Rico-Bayamón,municipality,United_States,Puerto_Rico,Bayamón,NA
United_States-Puerto_Rico-Cabo_Rojo,municipality,United_States,Puerto_Rico,Cabo_Rojo,NA
United_States-Puerto_Rico-Caguas,municipality,United_States,Puerto_Rico,Caguas,NA
United_States-Puerto_Rico-Camuy,municipality,United_States,Puerto_Rico,Camuy,NA
United_States-Puerto_Rico-Canóvanas,municipality,United_States,Puerto_Rico,Canóvanas,NA
United_States-Puerto_Rico-Carolina,municipality,United_States,Puerto_Rico,Carolina,NA
United_States-Puerto_Rico-Cataño,municipality,United_States,Puerto_Rico,Cataño,NA
United_States-Puerto_Rico-Cayey,municipality,United_States,Puerto_Rico,Cayey,NA
United_States-Puerto_Rico-Ceiba,municipality,United_States,Puerto_Rico,Ceiba,NA
United_States-Puerto_Rico-Ciales,municipality,United_States,Puerto_Rico,Ciales,NA
United_States-Puerto_Rico-Cidra,municipality,United_States,Puerto_Rico,Cidra,NA
United_States-Puerto_Rico-Coamo,municipality,United_States,Puerto_Rico,Coamo,NA
United_States-Puerto_Rico-Comerío,municipality,United_States,Puerto_Rico,Comerío,NA
United_States-Puerto_Rico-Corozal,municipality,United_States,Puerto_Rico,Corozal,NA
United_States-Puerto_Rico-Culebra,municipality,United_States,Puerto_Rico,Culebra,NA
United_States-Puerto_Rico-Dorado,municipality,United_States,Puerto_Rico,Dorado,NA
United_States-Puerto_Rico-Fajardo,municipality,United_States,Puerto_Rico,Fajardo,NA
United_States-Puerto_Rico-Florida,municipality,United_States,Puerto_Rico,Florida,NA
United_States-Puerto_Rico-Guánica,municipality,United_States,Puerto_Rico,Guánica,NA
United_States-Puerto_Rico-Guayama,municipality,United_States,Puerto_Rico,Guayama,NA
United_States-Puerto_Rico-Guayanilla,municipality,United_States,Puerto_Rico,Guayanilla,NA
United_States-Puerto_Rico-Guaynabo,municipality,United_States,Puerto_Rico,Guaynabo,NA
United_States-Puerto_Rico-Gurabo,municipality,United_States,Puerto_Rico,Gurabo,NA
United_States-Puerto_Rico-Hatillo,municipality,United_States,Puerto_Rico,Hatillo,NA
United_States-Puerto_Rico-Hormigueros,municipality,United_States,Puerto_Rico,Hormigueros,NA
United_States-Puerto_Rico-Humacao,municipality,United_States,Puerto_Rico,Humacao,NA
United_States-Puerto_Rico-Isabela,municipality,United_States,Puerto_Rico,Isabela,NA
United_States-Puerto_Rico-Jayuya,municipality,United_States,Puerto_Rico,Jayuya,NA
United_States-Puerto_Rico-Juana Díaz,municipality,United_States,Puerto_Rico,Juana Díaz,NA
United_States-Puerto_Rico-Juncos,municipality,United_States,Puerto_Rico,Juncos,NA
United_States-Puerto_Rico-Lajas,municipality,United_States,Puerto_Rico,Lajas,NA
United_States-Puerto_Rico-Lares,municipality,United_States,Puerto_Rico,Lares,NA
United_States-Puerto_Rico-Las_Marías,municipality,United_States,Puerto_Rico,Las_Marías,NA
United_States-Puerto_Rico-Las_Piedras,municipality,United_States,Puerto_Rico,Las_Piedras,NA
United_States-Puerto_Rico-Loiza,municipality,United_States,Puerto_Rico,Loiza,NA
United_States-Puerto_Rico-Luquillo,municipality,United_States,Puerto_Rico,Luquillo,NA
United_States-Puerto_Rico-Manatí,municipality,United_States,Puerto_Rico,Manatí,NA
United_States-Puerto_Rico-Maricao,municipality,United_States,Puerto_Rico,Maricao,NA
United_States-Puerto_Rico-Maunabo,municipality,United_States,Puerto_Rico,Maunabo,NA
United_States-Puerto_Rico-Mayagüez,municipality,United_States,Puerto_Rico,Mayagüez,NA
United_States-Puerto_Rico-Moca,municipality,United_States,Puerto_Rico,Moca,NA
United_States-Puerto_Rico-Morovis,municipality,United_States,Puerto_Rico,Morovis,NA
United_States-Puerto_Rico-Naguabo,municipality,United_States,Puerto_Rico,Naguabo,NA
United_States-Puerto_Rico-Naranjito,municipality,United_States,Puerto_Rico,Naranjito,NA
United_States-Puerto_Rico-Orocovis,municipality,United_States,Puerto_Rico,Orocovis,NA
United_States-Puerto_Rico-Patillas,municipality,United_States,Puerto_Rico,Patillas,NA
United_States-Puerto_Rico-Peñuelas,municipality,United_States,Puerto_Rico,Peñuelas,NA
United_States-Puerto_Rico-Ponce,municipality,United_States,Puerto_Rico,Ponce,NA
United_States-Puerto_Rico-Quebradillas,municipality,United_States,Puerto_Rico,Quebradillas,NA
United_States-Puerto_Rico-Rincón,municipality,United_States,Puerto_Rico,Rincón,NA
United_States-Puerto_Rico-Rio_Grande,municipality,United_States,Puerto_Rico,Rio_Grande,NA
United_States-Puerto_Rico-Sábana_Grande,municipality,United_States,Puerto_Rico,Sábana_Grande,NA
United_States-Puerto_Rico-Salinas,municipality,United_States,Puerto_Rico,Salinas,NA
United_States-Puerto_Rico-San_Germán,municipality,United_States,Puerto_Rico,San_Germán,NA
United_States-Puerto_Rico-San_Juan,municipality,United_States,Puerto_Rico,San_Juan,NA
United_States-Puerto_Rico-San_Lorenzo,municipality,United_States,Puerto_Rico,San_Lorenzo,NA
United_States-Puerto_Rico-San_Sebastián,municipality,United_States,Puerto_Rico,San_Sebastián,NA
United_States-Puerto_Rico-Santa_Isabel,municipality,United_States,Puerto_Rico,Santa_Isabel,NA
United_States-Puerto_Rico-Toa_Alta,municipality,United_States,Puerto_Rico,Toa_Alta,NA
United_States-Puerto_Rico-Toa_Baja,municipality,United_States,Puerto_Rico,Toa_Baja,NA
United_States-Puerto_Rico-Trujillo_Alto,municipality,United_States,Puerto_Rico,Trujillo_Alto,NA
United_States-Puerto_Rico-Utuado,municipality,United_States,Puerto_Rico,Utuado,NA
United_States-Puerto_Rico-Vega_Alta,municipality,United_States,Puerto_Rico,Vega_Alta,NA
United_States-Puerto_Rico-Vega_Baja,municipality,United_States,Puerto_Rico,Vega_Baja,NA
United_States-Puerto_Rico-Vieques,municipality,United_States,Puerto_Rico,Vieques,NA
United_States-Puerto_Rico-Villalba,municipality,United_States,Puerto_Rico,Villalba,NA
United_States-Puerto_Rico-Yabucoa,municipality,United_States,Puerto_Rico,Yabucoa,NA
United_States-Puerto_Rico-Yauco,municipality,United_States,Puerto_Rico,Yauco,NA
